,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,0.90,0,45.1,82.6,0.90,82.3,0.15,0.45,0,28.0,0,0,0.90,28.3,0,0,0.30,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,2.28,0,88.0,57.0,5.41,70.9,0.28,1.71,0,14.8,0.85,0,1.42,32.5,0.85,0.85,2.56,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,1.04,0,56.8,90.6,0.26,85.4,0,0.13,0,1.08,0.015,0.044,0.41,62.5,0.015,0.059,0.015,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,0,0,45.6,87.1,0.42,85.2,0,0.10,0,16.1,0,0,0.52,39.8,0,0,0,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,0.30,0,67.5,87.3,1.05,85.3,0.050,0.75,0,9.61,0.100,0.050,0.45,43.1,0.100,0.050,0.050,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,0.11,0.20,90.8,84.2,0.95,86.1,0,0.39,0,1.75,0.11,0,0.70,33.1,0.068,0.023,0.34,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,0.69,0.24,49.0,92.8,1.03,85.0,0.011,0.86,5.73E-3,1.07,0.052,0.017,0.44,66.1,0.023,0.017,0.034,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,0.35,0,67.1,85.7,3.30,85.5,0.12,2.35,0,7.34,0.039,0,0.78,48.8,0.24,0.039,0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,0,0,66.5,78.5,0,99.6,0,0.86,0,59.7,0.43,0,1.29,58.8,0,0,0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,2.94,0,79.4,39.2,1.96,93.1,0,4.90,0,39.2,0,0,0,28.4,0,0.98,0,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,1.57,0.020,60.8,88.5,0.24,96.7,0,0.45,0,6.05,0.10,0.081,0.29,78.1,0.020,0.020,0.020,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,0.59,0.028,56.2,74.5,0.45,96.2,0.028,0.51,0,1.57,0.14,0.028,0.84,60.7,0.028,0.028,0.028,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,0.25,0,30.7,85.9,0,70.9,0.25,0.25,0,46.0,0,0,0.75,31.2,0,0,0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,0.45,0.45,78.0,87.4,0,63.2,0.90,0,0,54.3,0,0,0.90,16.6,0,0,0,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,0.72,0.013,18.5,93.0,0.18,72.2,0.013,0.47,0,6.03,0.054,0.031,0.34,59.1,8.96E-3,8.96E-3,0.018,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,0.13,0,22.6,82.3,0.52,65.8,0.26,0.26,0,41.2,0,0,1.70,22.6,0,0,0,
