,Count,Time/Cells/Single Cells/Live | Count,Time/Cells/Single Cells/Live/CD45+ | Count,"Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total) | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total) | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8- | Count",
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,105017,50511,49498,2185,36487,2078,118,1246,41.0,673,1960,3442,3.00,367,90.0,2982,3439,1668,454,25.0,632,557,1214,20546,9720,94.0,7469,3263,10826,7722,4554,1222,586,1360,3168,659,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,324470,155895,142528,9385,108966,8822,239,654,396,7533,8583,8991,0,18.0,191,8782,8991,3518,110,17.0,1513,1878,3408,56085,9159,109,31630,15187,46926,29478,14682,610,4960,9226,14796,1580,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,27720,8750,8441,813,6534,933,17.0,179,99.0,638,916,307,1.00,1.00,22.0,283,306,113,22.0,29.0,16.0,46.0,91.0,3639,2062,203,913,461,1577,1299,850,115,41.0,293,449,140,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,73221,15341,13832,2643,9532,250,27.0,44.0,20.0,159,223,181,0,8.00,12.0,161,181,156,37.0,14.0,45.0,60.0,119,5740,2448,183,1690,1419,3292,2944,1532,463,223,726,1412,141,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,47027,8253,7764,1234,5769,232,25.0,95.0,9.00,103,207,109,0,30.0,5.00,74.0,109,91.0,26.0,11.0,21.0,33.0,65.0,3694,2555,59.0,780,300,1139,1366,1151,123,24.0,68.0,215,54.0,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,33832,10425,8472,417,6043,309,17.0,63.0,19.0,210,292,268,0,2.00,27.0,239,268,106,5.00,14.0,24.0,63.0,101,3492,1123,200,926,1243,2369,1523,919,133,67.0,404,604,258,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,33781,13407,12966,2291,9480,288,91.0,181,3.00,13.0,197,123,12.0,97.0,3.00,11.0,111,268,180,53.0,12.0,23.0,88.0,5795,4883,359,296,257,912,2710,2147,444,40.0,79.0,563,147,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,60853,10417,9754,1327,6983,291,18.0,86.0,30.0,157,273,175,0,9.00,11.0,155,175,161,24.0,11.0,49.0,77.0,137,4478,2144,123,1467,744,2334,1700,1314,80.0,64.0,242,386,54.0,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,90099,39830,37322,3189,30113,348,32.0,112,18.0,186,316,318,2.00,4.00,22.0,290,316,553,124,77.0,148,204,429,17756,7532,531,6294,3399,10224,10132,4866,2233,698,2335,5266,432,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,14985,2660,2433,131,1721,65.0,5.00,27.0,7.00,26.0,60.0,81.0,1.00,4.00,12.0,64.0,80.0,40.0,12.0,4.00,9.00,15.0,28.0,1086,586,38.0,251,211,500,376,262,44.0,13.0,57.0,114,36.0,
