,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,44.3,4.91,58.6,57.4,8.23,0.87,5.77,13.7,7.50,10.7,0.14,71.3,53.8,12.3,0.72,0,37.7,8.23,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,32.3,0.96,80.8,61.3,4.88,2.07,11.9,48.2,5.75,23.1,0,42.9,15.1,4.20,0.12,0.029,40.6,4.99,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,43.0,0.65,60.6,59.2,15.7,3.75,4.46,44.6,1.55,11.4,0.12,58.3,31.1,8.80,3.45,0,9.63,9.10,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,39.3,4.19,68.4,78.7,6.25,2.72,10.8,62.9,3.53,27.7,0.22,30.9,21.5,9.12,0.66,0,16.7,14.5,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,17.6,1.42,88.7,72.8,2.51,4.62,5.95,65.3,1.84,36.1,0,22.9,6.95,3.32,0.098,0.011,31.8,7.10,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,4.78,0.68,52.9,72.0,4.78,0.68,1.71,51.2,0,50.9,0,23.2,9.22,4.10,1.71,0.34,2.39,3.41,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,16.5,1.52,30.2,44.2,3.72,1.10,19.4,48.9,1.38,9.23,0,38.6,22.3,3.58,0.28,0,8.82,12.0,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,8.82,0,76.5,82.4,4.41,1.47,16.2,60.3,0,36.8,0,11.8,8.82,1.47,0,0,20.6,10.3,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,0.99,0.25,34.2,69.3,2.72,2.23,6.93,59.7,0.50,39.6,0,17.8,5.45,1.73,0.99,0,14.6,7.43,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,6.33,1.27,50.6,54.4,6.33,0,6.33,6.33,3.80,7.59,0,60.8,31.6,6.33,1.27,0,29.1,5.06,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,19.0,0,73.1,70.2,3.72,1.65,12.4,43.4,7.02,16.1,0,36.0,12.8,1.24,0.83,0,28.9,12.0,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,6.42,0.47,25.0,40.2,8.27,1.37,2.44,33.4,0.64,6.00,0.086,59.9,19.4,4.54,2.83,0,4.63,6.21,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,15.8,1.75,33.3,82.5,1.75,0,7.02,56.1,3.51,26.3,0,26.3,10.5,8.77,1.75,0,8.77,15.8,
